[11/Aug/2025:15:10:43 +0000] - 304 304 - GET https jupiter.cosmos "/" [Client 192.168.95.1] [Length 0] [Gzip -] [Sent-to 192.168.95.30] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
[11/Aug/2025:15:10:43 +0000] - 404 404 - GET https jupiter.cosmos "/favicon.ico" [Client 192.168.95.1] [Length 181] [Gzip 3.22] [Sent-to 192.168.95.30] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "https://jupiter.cosmos/"
[11/Aug/2025:16:30:28 +0000] - 404 404 - GET https jupiter.cosmos "/favicon.ico" [Client 192.168.95.1] [Length 181] [Gzip 3.22] [Sent-to 192.168.95.30] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "https://jupiter.cosmos/"
[11/Aug/2025:18:51:50 +0000] - 404 404 - GET https jupiter.cosmos "/favicon.ico" [Client 192.168.95.1] [Length 181] [Gzip 3.22] [Sent-to 192.168.95.30] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "https://jupiter.cosmos/"
[11/Aug/2025:20:57:02 +0000] - 304 304 - GET https jupiter.cosmos "/" [Client 192.168.95.1] [Length 0] [Gzip -] [Sent-to 192.168.95.30] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
[11/Aug/2025:20:57:03 +0000] - 404 404 - GET https jupiter.cosmos "/favicon.ico" [Client 192.168.95.1] [Length 181] [Gzip 3.22] [Sent-to 192.168.95.30] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "https://jupiter.cosmos/"
[14/Aug/2025:20:03:54 +0000] - 502 502 - GET https jupiter.cosmos "/" [Client 192.168.95.1] [Length 556] [Gzip -] [Sent-to 192.168.95.30] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "https://npm.cosmos/"
[14/Aug/2025:20:03:55 +0000] - - 499 - GET https jupiter.cosmos "/favicon.ico" [Client 192.168.95.1] [Length 0] [Gzip -] [Sent-to 192.168.95.30] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "https://jupiter.cosmos/"
[14/Aug/2025:20:04:27 +0000] - 200 200 - GET https jupiter.cosmos "/" [Client 192.168.95.1] [Length 1673] [Gzip -] [Sent-to 192.168.95.31] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "https://npm.cosmos/"
[14/Aug/2025:20:04:27 +0000] - 200 200 - GET https jupiter.cosmos "/static/css/main.916afe96.css" [Client 192.168.95.1] [Length 11239] [Gzip -] [Sent-to 192.168.95.31] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "https://jupiter.cosmos/"
[14/Aug/2025:20:04:27 +0000] - 200 200 - GET https jupiter.cosmos "/static/js/main.7f4a4d9f.js" [Client 192.168.95.1] [Length 105791] [Gzip -] [Sent-to 192.168.95.31] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "https://jupiter.cosmos/"
[14/Aug/2025:20:04:27 +0000] - 200 200 - GET https jupiter.cosmos "/favicon.ico" [Client 192.168.95.1] [Length 1673] [Gzip -] [Sent-to 192.168.95.31] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "https://jupiter.cosmos/"
